"Year","predicted","std.error","conf.low","conf.high","Race","Sexual_Orientation","Gender","strata","strata2","state"
"2003",52,0.169173448155136,43.75,60.15,"OtherRace","Bisexual","Female","OtherRace-Female","Bisexual-Female","46 States"
"2003",45.39,0.171213503232611,37.27,53.76,"OtherRace","Homosexual","Female","OtherRace-Female","Homosexual-Female","46 States"
"2003",36.01,0.170112567278597,28.73,43.99,"OtherRace","Othersexual","Female","OtherRace-Female","Othersexual-Female","46 States"
"2005",9.95,0.101130599541155,8.31,11.87,"White","Heterosexual","Male","White-Male","Heterosexual-Male","46 States"
"2005",33.93,0.164517691293972,27.12,41.49,"White","Bisexual","Male","White-Male","Bisexual-Male","46 States"
"2005",29.12,0.169205109681777,22.77,36.41,"White","Homosexual","Male","White-Male","Homosexual-Male","46 States"
"2005",21.43,0.168092658639632,16.4,27.49,"White","Othersexual","Male","White-Male","Othersexual-Male","46 States"
"2005",15.29,0.0922834173685327,13.09,17.78,"White","Heterosexual","Female","White-Female","Heterosexual-Female","46 States"
"2005",44.25,0.151925661834676,37.08,51.67,"White","Bisexual","Female","White-Female","Bisexual-Female","46 States"
"2005",38.37,0.170101804403229,30.85,46.49,"White","Homosexual","Female","White-Female","Homosexual-Female","46 States"
"2005",31.36,0.165697801513928,24.82,38.73,"White","Othersexual","Female","White-Female","Othersexual-Female","46 States"
"2005",8.05,0.165655440232052,5.95,10.8,"Asian","Heterosexual","Male","Asian-Male","Heterosexual-Male","46 States"
"2005",29.1,0.17334879232609,22.62,36.57,"Asian","Bisexual","Male","Asian-Male","Bisexual-Male","46 States"
"2005",24.34,0.1741287026703,18.61,31.15,"Asian","Homosexual","Male","Asian-Male","Homosexual-Male","46 States"
"2005",17.94,0.17311872643438,13.47,23.48,"Asian","Othersexual","Male","Asian-Male","Othersexual-Male","46 States"
"2005",13.56,0.163045161365818,10.23,17.76,"Asian","Heterosexual","Female","Asian-Female","Heterosexual-Female","46 States"
"2005",40.18,0.171697322003566,32.42,48.46,"Asian","Bisexual","Female","Asian-Female","Bisexual-Female","46 States"
"2005",34.71,0.173297468839549,27.45,42.74,"Asian","Homosexual","Female","Asian-Female","Homosexual-Female","46 States"
"2005",26.34,0.173108794063711,20.3,33.42,"Asian","Othersexual","Female","Asian-Female","Othersexual-Female","46 States"
"2005",6.62,0.141565228823686,5.1,8.56,"Black","Heterosexual","Male","Black-Male","Heterosexual-Male","46 States"
"2005",28.31,0.171226965277616,22.02,35.58,"Black","Bisexual","Male","Black-Male","Bisexual-Male","46 States"
"2005",23.46,0.171041734144731,17.98,30,"Black","Homosexual","Male","Black-Male","Homosexual-Male","46 States"
"2005",17.41,0.171284831954814,13.1,22.77,"Black","Othersexual","Male","Black-Male","Othersexual-Male","46 States"
"2005",12.19,0.119648492062261,9.89,14.93,"Black","Heterosexual","Female","Black-Female","Heterosexual-Female","46 States"
"2005",38.95,0.164849171064896,31.59,46.84,"Black","Bisexual","Female","Black-Female","Bisexual-Female","46 States"
"2005",32.85,0.169522710418491,25.98,40.55,"Black","Homosexual","Female","Black-Female","Homosexual-Female","46 States"
"2005",26.42,0.169405819838433,20.48,33.35,"Black","Othersexual","Female","Black-Female","Othersexual-Female","46 States"
"2005",9.67,0.154679732680708,7.33,12.66,"Hispanic","Heterosexual","Male","Hispanic-Male","Heterosexual-Male","46 States"
"2005",32.83,0.171976551473615,25.87,40.64,"Hispanic","Bisexual","Male","Hispanic-Male","Bisexual-Male","46 States"
"2005",27.69,0.172579449039963,21.45,34.94,"Hispanic","Homosexual","Male","Hispanic-Male","Homosexual-Male","46 States"
"2005",20.49,0.17101222508547,15.57,26.49,"Hispanic","Othersexual","Male","Hispanic-Male","Othersexual-Male","46 States"
"2005",13.17,0.147758140642434,10.2,16.85,"Hispanic","Heterosexual","Female","Hispanic-Female","Heterosexual-Female","46 States"
"2005",45.41,0.165531079676788,37.56,53.51,"Hispanic","Bisexual","Female","Hispanic-Female","Bisexual-Female","46 States"
"2005",38.22,0.171761625920807,30.64,46.42,"Hispanic","Homosexual","Female","Hispanic-Female","Homosexual-Female","46 States"
"2005",30.18,0.171386336987091,23.6,37.69,"Hispanic","Othersexual","Female","Hispanic-Female","Othersexual-Female","46 States"
"2005",10.71,0.161663262172572,8.04,14.14,"MultiRace","Heterosexual","Male","MultiRace-Male","Heterosexual-Male","46 States"
"2005",37.15,0.171441753820487,29.7,45.27,"MultiRace","Bisexual","Male","MultiRace-Male","Bisexual-Male","46 States"
"2005",31.53,0.173266129849946,24.7,39.28,"MultiRace","Homosexual","Male","MultiRace-Male","Homosexual-Male","46 States"
"2005",23.91,0.172841868154536,18.3,30.6,"MultiRace","Othersexual","Male","MultiRace-Male","Othersexual-Male","46 States"
"2005",17.31,0.154418070661571,13.4,22.08,"MultiRace","Heterosexual","Female","MultiRace-Female","Heterosexual-Female","46 States"
