"x","predicted","std.error","conf.low","conf.high","group","facet","panel"
"Post-2020",0.342075615607983,0.0887632645557287,0.304061566151443,0.382231960692166,"Black","Bisexual","Male"
"Post-2020",0.309987568268231,0.0974137640550945,0.270693896580875,0.352230313222356,"Black","Homosexual","Male"
"Post-2020",0.28329882602737,0.0977216593924762,0.246069225673115,0.323742431857579,"Black","Othersexual","Male"
"Post-2020",0.182889303004276,0.0370999985441281,0.172272257302082,0.19400730775952,"Black","Heterosexual","Female"
"Post-2020",0.441592232386553,0.0488692573080643,0.41812273154027,0.465325603839972,"Black","Bisexual","Female"
"Post-2020",0.431872123073354,0.0789677206053552,0.394367324848543,0.470174673676712,"Black","Homosexual","Female"
"Post-2020",0.38716835184322,0.0576846213768042,0.36070848904028,0.414311283097945,"Black","Othersexual","Female"
"Post-2020",0.104997371170852,0.0325183720786819,0.0991570320474545,0.111139266099117,"Hispanic","Heterosexual","Male"
"Post-2020",0.392100146392758,0.0792123942136571,0.35577573901323,0.429659765848624,"Hispanic","Bisexual","Male"
"Post-2020",0.326365491939599,0.0880512695402699,0.289616544705617,0.365379074138484,"Hispanic","Homosexual","Male"
"Post-2020",0.317121640418677,0.0822107001356035,0.283297888840572,0.352994730239393,"Hispanic","Othersexual","Male"
"Post-2020",0.17635691144811,0.0302821783072097,0.167900648172634,0.185144308542483,"Hispanic","Heterosexual","Female"
"Post-2020",0.463093272783363,0.0417295099345092,0.442830052763011,0.48347912529492,"Hispanic","Bisexual","Female"
"Post-2020",0.455810533163841,0.0757800138162842,0.419275961948682,0.492826955333049,"Hispanic","Homosexual","Female"
"Post-2020",0.400479039298259,0.0475119713961977,0.378342068762425,0.423029857863028,"Hispanic","Othersexual","Female"
"Post-2020",0.133795426592238,0.0424183701718464,0.12445006660327,0.14372735924526,"MultiOtherRace","Heterosexual","Male"
"Post-2020",0.425059729370402,0.0948078297536056,0.380398676948425,0.470978525069437,"MultiOtherRace","Bisexual","Male"
"Post-2020",0.381230058233278,0.105780441662285,0.333664705036222,0.431188274486886,"MultiOtherRace","Homosexual","Male"
"Post-2020",0.332379292011697,0.0915637309768257,0.293819536329869,0.373324269779725,"MultiOtherRace","Othersexual","Male"
"Post-2020",0.201663256972412,0.0432243109209768,0.188368033012276,0.215647545432836,"MultiOtherRace","Heterosexual","Female"
"Post-2020",0.521122176676561,0.0558850754715272,0.493751896379168,0.548366229079536,"MultiOtherRace","Bisexual","Female"
"Post-2020",0.475083338979395,0.0934195918241364,0.429755614820706,0.520825386283213,"MultiOtherRace","Homosexual","Female"
"Post-2020",0.432426114237062,0.0635825820699994,0.402134541635187,0.463231521439009,"MultiOtherRace","Othersexual","Female"
