"Year","predicted","std.error","conf.low","conf.high","Race","Sexual_Orientation","Gender","strata","strata2","state","Level"
"2003",18.850984431156,0.161492559302868,14.4767837835208,24.1732877043756,"MultiRace","Heterosexual","Female","MultiRace-Female","Heterosexual-Female","1:Lowest",0
"2003",51.5887585730719,0.173955973766904,43.1097275372553,59.9772957589707,"MultiRace","Bisexual","Female","MultiRace-Female","Bisexual-Female","1:Lowest",0
"2003",44.6754954148311,0.174599414172281,36.4473638576433,53.2060398394361,"MultiRace","Homosexual","Female","MultiRace-Female","Homosexual-Female","1:Lowest",0
"2003",36.4124978980497,0.174579751545878,28.9117309262565,44.6373345044146,"MultiRace","Othersexual","Female","MultiRace-Female","Othersexual-Female","1:Lowest",0
"2003",10.9437173875441,0.169952335247533,8.09429600684547,14.6364704449636,"OtherRace","Heterosexual","Male","OtherRace-Male","Heterosexual-Male","1:Lowest",0
"2003",36.6230229422166,0.175275138205767,29.0706233176899,44.8955791898056,"OtherRace","Bisexual","Male","OtherRace-Male","Bisexual-Male","1:Lowest",0
"2003",30.9279127722003,0.176325512322943,24.0656570420939,38.7484133162739,"OtherRace","Homosexual","Male","OtherRace-Male","Homosexual-Male","1:Lowest",0
"2003",23.4299632339477,0.175182343972398,17.8353717042955,30.1358096213668,"OtherRace","Othersexual","Male","OtherRace-Male","Othersexual-Male","1:Lowest",0
"2003",17.081122447893,0.169727252125745,12.869485141689,22.3180086032311,"OtherRace","Heterosexual","Female","OtherRace-Female","Heterosexual-Female","1:Lowest",0
"2003",48.6169690139981,0.174620358385738,40.1892715253849,57.1240525064746,"OtherRace","Bisexual","Female","OtherRace-Female","Bisexual-Female","1:Lowest",0
"2003",42.148742807339,0.176085046854387,34.0337475359704,50.7112025817207,"OtherRace","Homosexual","Female","OtherRace-Female","Homosexual-Female","1:Lowest",0
"2003",33.3009369060878,0.175147523834436,26.1557670114164,41.3061746414425,"OtherRace","Othersexual","Female","OtherRace-Female","Othersexual-Female","1:Lowest",0
"2005",8.67516441630407,0.134417212959562,6.80262245680464,11.00230575129,"White","Heterosexual","Male","White-Male","Heterosexual-Male","1:Lowest",0
"2005",30.5036802748047,0.171677901420243,23.8683827953602,38.0613758073351,"White","Bisexual","Male","White-Male","Bisexual-Male","1:Lowest",0
"2005",25.904549129958,0.175223623297728,19.8711420186044,33.0150698329247,"White","Homosexual","Male","White-Male","Homosexual-Male","1:Lowest",0
"2005",19.0791223359409,0.174145555859602,14.3539712687387,24.9073793436133,"White","Othersexual","Male","White-Male","Othersexual-Male","1:Lowest",0
"2005",13.4151149729215,0.130450643904194,10.7127720726905,16.6718515897958,"White","Heterosexual","Female","White-Female","Heterosexual-Female","1:Lowest",0
"2005",40.6651036043218,0.163074191457816,33.2378541868098,48.5452171378484,"White","Bisexual","Female","White-Female","Bisexual-Female","1:Lowest",0
"2005",34.9160066239874,0.175622918264584,27.5489274356081,43.0816978681664,"White","Homosexual","Female","White-Female","Homosexual-Female","1:Lowest",0
"2005",28.1721482601663,0.172457983835534,21.8581843212963,35.4818099401176,"White","Othersexual","Female","White-Female","Othersexual-Female","1:Lowest",0
"2005",7.24441850428257,0.172265459382481,5.27814190999672,9.86689355449285,"Asian","Heterosexual","Male","Asian-Male","Heterosexual-Male","1:Lowest",0
"2005",26.6237197140641,0.178166351207614,20.3753509774992,33.9707367109564,"Asian","Bisexual","Male","Asian-Male","Bisexual-Male","1:Lowest",0
"2005",22.1276874784258,0.179041744073881,16.6705799151456,28.7547445608438,"Asian","Homosexual","Male","Asian-Male","Homosexual-Male","1:Lowest",0
"2005",16.3425578849795,0.178101506209049,12.110257201583,21.6889596496273,"Asian","Othersexual","Male","Asian-Male","Othersexual-Male","1:Lowest",0
"2005",12.0529572025552,0.170370932418999,8.93704813499783,16.0635947665061,"Asian","Heterosexual","Female","Asian-Female","Heterosexual-Female","1:Lowest",0
"2005",37.1995424142417,0.176963405840096,29.5148650088061,45.5908823080608,"Asian","Bisexual","Female","Asian-Female","Bisexual-Female","1:Lowest",0
